19,98,27,81
12,93,18,92
8,89,9,76
4,75,18,60
28,96,34,95
35,98,43,81
44,84,50,83
51,98,59,81
60,96,65,95
66,98,74,70
25,80,26,75
54,80,55,73
19,66,23,65
24,74,39,62
40,67,44,66
45,72,58,59
59,62,62,61
63,64,72,47
69,69,70,65
13,59,14,55
11,54,22,42
28,45,37,26
44,52,55,31
56,50,62,49
38,43,43,42
18,41,19,37
16,36,22,30
23,33,27,32
18,29,19,22
34,25,35,22
53,30,54,27
63,39,71,31
72,39,76,38
77,46,85,38
81,37,82,34
78,33,84,28
65,30,66,27
53,26,66,23
12,21,25,9
26,18,31,17
32,21,37,16
38,18,42,17
43,19,53,9
54,16,59,15
60,18,71,14
72,17,75,16
76,23,86,13
81,27,82,24
81,12,82,10
79,9,84,4
85,7,89,6
