6,89,9,84
5,83,12,72
6,71,9,65
4,64,11,57
13,80,17,77
12,95,16,92
17,95,26,86
27,94,32,92
33,96,38,90
39,96,44,93
45,98,54,93
53,92,54,90
18,80,27,71
28,80,38,77
39,86,44,77
75,86,52,82
53,89,62,82
56,81,58,75
35,76,39,65
11,58,15,54
15,54,21,48
22,54,31,51
30,64,40,54
35,53,37,46
31,45,42,34
43,42,47,40
34,33,36,29
16,28,20,20
29,28,37,19
38,26,43,25
52,74,62,63
63,74,70,69
71,77,78,69
75,68,77,58
56,62,60,58
48,53,50,38
51,53,54,51
55,57,67,47
68,55,72,51
73,57,82,48
77,47,78,40
79,41,84,39
85,42,93,32
51,42,56,40
57,42,64,38
62,37,64,34
65,39,73,37
74,39,78,33
14,19,21,12
22,15,33,12
32,18,34,16
34,15,42,7
43,13,51,11
52,15,56,10
57,11,75,10
76,13,83,8
84,11,89,8
44,29,49,23
50,28,52,26
53,29,57,21
58,25,61,23
62,33,65,17
66,21,71,17
72,21,77,20
76,19,79,14
78,26,84,20
78,32,78,27
91,31,93,26
91,25,96,19
94,18,96,12
45,86,52,82
15,37,23,29
17,47,20,38
